[2026-01-15T18:50:07.308+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-15T18:50:07.339+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_a.trigger_dag_b_task manual__2026-01-15T18:50:03.865649+00:00 [queued]>
[2026-01-15T18:50:07.347+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_a.trigger_dag_b_task manual__2026-01-15T18:50:03.865649+00:00 [queued]>
[2026-01-15T18:50:07.348+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-01-15T18:50:07.359+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_dag_b_task> on 2026-01-15 18:50:03.865649+00:00
[2026-01-15T18:50:07.366+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'dag_a', 'trigger_dag_b_task', 'manual__2026-01-15T18:50:03.865649+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/first-dag.py', '--cfg-path', '/tmp/tmp5ewdzofr']
[2026-01-15T18:50:07.368+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=418) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-15T18:50:07.368+0000] {standard_task_runner.py:91} INFO - Job 26: Subtask trigger_dag_b_task
[2026-01-15T18:50:07.369+0000] {standard_task_runner.py:64} INFO - Started process 419 to run task
[2026-01-15T18:50:07.441+0000] {task_command.py:426} INFO - Running <TaskInstance: dag_a.trigger_dag_b_task manual__2026-01-15T18:50:03.865649+00:00 [running]> on host 486b64c77b56
[2026-01-15T18:50:07.529+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_a' AIRFLOW_CTX_TASK_ID='trigger_dag_b_task' AIRFLOW_CTX_EXECUTION_DATE='2026-01-15T18:50:03.865649+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-15T18:50:03.865649+00:00'
[2026-01-15T18:50:07.530+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-15T18:50:11.362+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.364+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.367+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1151 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.368+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1248 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.369+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1271 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.371+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1406 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.374+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1439 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.376+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1495 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.377+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1683 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.378+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1750 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.380+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2025 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.383+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2110 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.385+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2407 SyntaxWarning: invalid escape sequence '\d'
[2026-01-15T18:50:11.386+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2468 SyntaxWarning: invalid escape sequence '\d'
